txt_orig,name_formatted,type_seg,name_seg,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3
iPad,Revenue_Total,product,Ipad,7248,7646,7224,7174,9396,6670,5791,6443,7023,5559,7162,6950,8088,6402,6581
iPhone,Revenue_Total,product,Iphone,71628,50570,40665,42626,65775,51334,39669,43805,69702,45963,39296,46222,69138,46841,44582
Mac,Revenue_Total,product,Mac,10852,10435,7382,11508,7735,7168,6840,7614,7780,7451,7009,7744,8987,7949,8046
"Wearables, Home and Accessories",Revenue_Total,product,WearablesHomeandAccessories,14701,8806,8084,9650,13482,8757,8284,9322,11953,7913,8097,9042,11747,7522,7404
